city, zip
Allied Gardens / Navajo, 92120
Alpine, 91901
Anguanga, 92302
Bonita, 91902
Bonsall, 92003
Borrego Springs, 92004
Boulevard, 91905
Camp Pendelton, 92055
Campo, 91906
Cardiff-by-the-Sea, 92007
Carlsbad, 92008 - 92011
Carmel Mtn Ranch,  92128
Carmel Valley, 92130
Chula Vista, 91910 - 91911
Chula Vista, 91913 - 91915
Clairemont, 92117
College Grove, 92115
Coronado, 92118
Del Cerro / San Carlos, 92120
Del Mar, 92014
Descanso, 91916
Dulzura, 91917
East San Diego, 92105
El Cajon, 92019 - 92021
Encanto, 92114
Encinitas, 92024
Escondido, 92029
Escondido, 92025-92027
Fallbrook, 92028
Guatay, 91931
Hillcrest / Mission Hills, 92103
Imperial Beach, 91932
Jacumba, 91934
Jamul, 91935
Julian, 92036
Kearny Mesa, 92111
Kensington, 92116
La Jolla, 92037
La Mesa, 91941 - 91942
Lakeside, 92040
Lemon Grove, 91945
Linda Vista, 92111
Logan Heights, 92113
Mira Mesa, 92126
Miramar, 92145
Mission Valley, 92108
Mission Village, 92123
Mount Laguna, 91948
National City, 91950
Naval Amphibious Base, 92155
Naval Anti-Sub Warfare, 92147
Naval Medical Center, 92134
Naval Station (32nd St), 92136
Naval Training Center, 92133
Nestor / Otay Mesa, 92154
Normal Heights, 92116
North Park, 92104
North Island NAS, 92135
Ocean Beach, 92107
Oceanside, 92054
Oceanside, 92056 - 92058
OldTown / Morena, 92110
Pacific Beach, 92109
Pala, 92059
Palomar Mountain, 92060
Paradise Hills, 92139
Pauma Valley, 92061
Pine Valley, 91962
Point Lorna, 92106
Potrero, 91963
Poway, 92064
Ramona, 92065
Ranchita, 92066
Rancho Bernardo, 92127 - 92128
Rancho Pefiasquitos, 92129
Rancho Santa Fe, 92067
Rancho Santa Fe, 92091
San Diego, 92102
San Diego (Downtown), 92101
San Diego State Univ, 92182
San Marcos, 92069
San Marcos, 92078
San Ysidro, 92173
Santa Ysabel, 92070
Santee, 92071
Scripps Ranch, 92131
Serra Mesa, 92123
Solana Beach, 92075
Sorrento Mesa, 92121
Sorrento Valley, 92121
Spring Valley, 91977 - 91978
Tecate, 91980
Tierrasanta, 92124
UCSD, 92093
University, 92122
USMC Recruit Depot, 92140
Valley Center, 92082
Veterans Admin Hospital, 92161
Vista, 92081
Vista, 92083 - 92084
Warner Springs, 92086
Winterhaven, 92283
